HTS CODE	DESCRIPTION	BASE DUTY RATE
6115.10.40.00	Of synthetic fibers (632)	14.60%
6115.10.55.00	Of artificial fibers (632)	14.60%
6115.30.90	Other	14.60%
6115.96.90	Other	14.60%
6115.99.19	Other	14.60%
6117.80.85.00	"Headbands, ponytail holders and similar articles"	14.60%
6117.80.95	Other	14.60%
6117.90.90	Other	14.60%
6217.10.85.00	"Headbands, ponytail holders and similar articles"	14.60%
6217.10.95	Other	14.60%
6217.90.90	Other	14.60%
5208.41.80.00	Of number 69 or higher number (218)	14.70%
5208.42.50.00	Of number 69 or higher number (218)	14.70%
5208.49.80	Of number 69 or higher number	14.70%
5210.29.80	Of number 69 or higher number	14.70%
0706.10.05.00	Reduced in size	14.90%
0709.40.20.00	Reduced in size	14.90%
0710.80.93.00	Okra	14.90%
0710.80.97	Other	14.90%
1901.10.29.00	Other	14.90%
1901.10.49.00	Other	14.90%
1904.20.90.00	Other	14.90%
2005.60.00.00	Asparagus	14.90%
2005.99.55	Other	14.90%
2005.99.80.00	Artichokes	14.90%
2008.97.90	Other	14.90%
5407.42.00	Dyed	14.90%
5407.51.00	Unbleached or bleached	14.90%
5407.52.20	Other	14.90%
5407.54.00	Printed	14.90%
5407.61.91.00	"Wholly of polyester, of single yarns meas- uring not less than <il>75 decitex</il> but not more than <il>80 decitex</il>, having 24 filaments per yarn and with a twist of 900 or more turns per meter (619)"	14.90%
5407.61.99	Other	14.90%
5407.69.10	Unbleached or bleached	14.90%
5407.69.20	Dyed	14.90%
5407.69.90	Printed	14.90%
5407.71.00	Unbleached or bleached	14.90%
5407.72.00	Dyed	14.90%
5407.74.00	Printed	14.90%
5407.81.00	Unbleached or bleached	14.90%
5407.82.00	Dyed	14.90%
5407.84.00	Printed	14.90%
5407.91.20	Other	14.90%
5407.92.20	Other	14.90%
5407.94.20	Other	14.90%
5408.10.00.00	Woven fabrics obtained from high tenacity yarn of viscose rayon (618)	14.90%
5408.21.00	Unbleached or bleached	14.90%
5408.22.10.00	Of cuprammonium rayon (618)	14.90%
5408.22.90	Other	14.90%
5408.31.20	Other	14.90%
5512.91.00	Unbleached or bleached	14.90%
5513.11.00	"Of polyester staple fibers, plain weave"	14.90%
5513.12.00.00	"3-thread or 4-thread twill, including cross twill, of polyester staple fibers (617)"	14.90%
5513.13.00	Other woven fabrics of polyester staple fibers	14.90%
5513.19.00	Other woven fabrics	14.90%
5513.21.00	"Of polyester staple fibers, plain weave"	14.90%
5513.23.01	Other woven fabrics of polyester staple fibers	14.90%
5513.29.00	Other woven fabrics	14.90%
5513.31.00.00	"Of polyester staple fibers, plain weave (218)"	14.90%
5513.39.01	Other woven fabrics	14.90%
5513.41.00	"Of polyester staple fibers, plain weave"	14.90%
5513.49.20	Other woven fabrics of polyester staple fibers	14.90%
5514.11.00	"Of polyester staple fibers, plain weave"	14.90%
5514.12.00	"3-thread or 4-thread twill, including cross twill, of polyester staple fibers"	14.90%
5514.19.10	Woven fabrics of polyester staple fibers	14.90%
5514.21.00	"Of polyester staple fibers, plain weave"	14.90%
5514.22.00	"3-thread or 4-thread twill, including cross twill, of polyester staple fibers"	14.90%
5514.23.00	Other woven fabrics of polyester staple fibers	14.90%
5514.30.31.00	"Of polyester staple fibers, plain weave (218)"	14.90%
5514.30.32	"3-thread or 4-thread twill, including cross twill, of polyester staple fibers"	14.90%
5514.41.00	"Of polyester staple fibers, plain weave"	14.90%
5514.42.00	"3-thread or 4-thread twill, including cross twill, of polyester staple fibers"	14.90%
5515.11.00	Mixed mainly or solely with viscose rayon staple fibers	14.90%
5516.11.00	Unbleached or bleached	14.90%
5516.12.00	Dyed	14.90%
5516.13.00.00	Of yarns of different colors (611)	14.90%
5516.21.00	Unbleached or bleached	14.90%
5516.22.00	Dyed	14.90%
5516.24.00	Printed	14.90%
5516.41.00	Unbleached or bleached	14.90%
5809.00.00.00	"Woven fabrics of metal thread and woven fabrics of metalized yarn of heading 5605, of a kind used in apparel, as furnishing fabrics or for similar purposes, not elsewhere specified or included (229)"	14.90%
6103.39.10.00	Of artificial fibers (633)	14.90%
6103.43.20	Bib and brace overalls	14.90%
6104.13.20.00	Other (644)	14.90%
6104.32.00.00	Of cotton (335)	14.90%
6104.43.10	Containing 23 percent or more by weight of wool or fine animal hair	14.90%
6104.44.10.00	Containing 23 percent or more by weight of wool or fine animal hair (436)	14.90%
6104.44.20	Other	14.90%
6104.51.00.00	Of wool or fine animal hair (442)	14.90%
6104.53.10.00	Containing 23 percent or more by weight of wool or fine animal hair (442)	14.90%
6104.61.00	Of wool or fine animal hair	14.90%
6104.62.20	Other	14.90%
6104.63.10	Bib and brace overalls	14.90%
6104.63.15	Containing 23 percent or more by weight of wool or fine animal hair	14.90%
6105.90.10.00	Of wool or fine animal hair (438)	14.90%
6106.20.10	Containing 23 percent or more by weight of wool or fine animal hair	14.90%
6107.12.00	Of man-made fibers	14.90%
6107.99.10	Of man-made fibers	14.90%
6108.11.00	Of man-made fibers	14.90%
6111.20.20.00	"T-shirts, singlets and similar garments, except those imported as parts of sets (239)"	14.90%
6111.20.30.00	"Sweaters, pullovers, sweatshirts, waistcoats (vests) and similar articles, except those imported as parts of sets (239)"	14.90%
6111.20.50.00	"Trousers, breeches and shorts, except those imported as parts of sets (239)"	14.90%
6111.90.10.00	"Trousers, breeches and shorts, except those imported as parts of sets (239)"	14.90%
6111.90.50	Other	14.90%
6112.11.00	Of cotton	14.90%
6114.30.30	Other	14.90%
6115.10.10.00	Of synthetic fibers (659)	14.90%
6115.22.00.00	"Of synthetic fibers, measuring per single yarn 67 decitex or more (659)"	14.90%
6201.40.35	Padded sleeveless jackets:	14.90%
6201.40.60	"Padded, sleeveless jackets"	14.90%
6202.40.35	"Padded, sleeveless jackets"	14.90%
6202.40.60	"Padded, sleeveless jackets"	14.90%
6203.19.30.00	Other (643)	14.90%
6203.43.05	Other	14.90%
6203.43.60	Other	14.90%
6204.12.00	Of cotton	14.90%
6204.43.30	Containing 36 percent or more by weight of wool or fine animal hair	14.90%
6204.53.20	Containing 36 percent or more by weight of wool or fine animal hair	14.90%
6204.59.20	Containing 36 percent or more by weight of wool or fine animal hair	14.90%
6204.63.03	Other	14.90%
6204.63.60	Other	14.90%
6207.99.75	"Bathrobes, dressing gowns and similar articles"	14.90%
6208.11.00.00	Of man-made fibers (652)	14.90%
6209.20.20.00	"Blouses and shirts, except those imported as parts of sets (239)"	14.90%
6209.20.30.00	"Trousers, breeches and shorts, except those imported as parts of sets (239)"	14.90%
6209.90.20.00	"Trousers, breeches and shorts, except those imported as parts of sets (239)"	14.90%
6209.90.30	Other	14.90%
6211.20.48	Other	14.90%
6211.20.78	Other	14.90%
6302.22.10	"Containing any embroidery, lace, braid, edging, trimming, piping or applique work"	14.90%
6302.32.10	"Containing any embroidery, lace, braid, edging, trimming, piping or applique work"	14.90%
6304.19.15.00	"Containing any embroidery, lace, braid, edging, trimming, piping or applique work (666)"	14.90%
6406.90.15	Of textile materials	14.90%
9013.10.10.00	Not designed for use with infrared light	14.90%
9619.00.43.00	Of artificial fibers (239)	14.90%
9619.00.64.00	Of man-made fibers	14.90%
9902.14.36	"Sports footwear for men, with outer soles of rubber or plastics and uppers of textile materials, valued over $20/pair, other than ski boots, cross country ski footwear and snowboard boots; such footwear designed to be worn in lieu of, but not over, other footwear as a protection against water, oil, grease or chemicals or cold or inclement weather where such protection is imparted by the use of a laminated textile and has openings in the bottom and/or side of the sole, or covered openings in the upper above the sole unit, or a combination thereof, designed to vent moisture (provided for in subheading 6404.11.90)"	14.90%
0302.91.20.00	Sturgeon roe	15%
0303.91.20.00	Sturgeon roe	15%
0406.20.43.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	15%
0406.20.44.00	Described in additional U.S. note 20 to this chapter and entered pursuant to its provisions	15%
0406.20.49.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	15%
0406.20.51.00	Described in additional U.S. note 21 to this chapter and entered pursuant to its provisions	15%
0406.30.42.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	15%
0406.30.44.00	Described in additional U.S. note 20 to this chapter and entered pursuant to its provisions	15%
0406.40.51.00	In original loaves	15%
0406.40.54.00	In original loaves	15%
0406.90.14.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	15%
0406.90.16.00	Described in additional U.S. note 20 to this chapter and entered pursuant to its provisions	15%
0406.90.39.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	15%
0406.90.41.00	Described in additional U.S. note 21 to this chapter and entered pursuant to its provisions	15%
1604.13.20.00	Neither skinned nor boned	15%
1604.31.00.00	Caviar	15%
5408.32.90	Other	15%
6404.20.20	Valued not over $2.50/pair	15%
7013.22.10.00	Valued not over $1 each	15%
7013.33.10.00	Valued not over $1 each	15%
7013.41.10.00	Valued not over $1 each	15%
7013.49.50	Valued over $3 but not over $5 each	15%
7013.99.10.00	"Glassware decorated with metal flecking, glass pictorial scenes or glass thread- or ribbon-like effects, any of the foregoing embedded or introduced into the body of the glassware prior to its solidification; millefiori glassware; glassware colored prior to solidification, and characterized by random distribution of numerous bubbles, seeds or stones, throughout the mass of the glass"	15%
7013.99.60.00	Valued over $3 but not over $5 each	15%
8108.20.00	Unwrought titanium; powders	15%
8108.90.60	Other	15%
8540.11.10	"Non-high definition, non-projection, having a video display diagonal exceeding <il>35.56 cm</il>"	15%
8540.11.28.01	Other	15%
8540.11.30.00	"High definition, having a video display diagonal exceeding <il>35.56 cm</il>"	15%
8540.11.48.01	Other	15%
8540.11.50.00	Other	15%
2008.40.00	Pears	15.30%
6206.30.30	Other	15.40%
5210.31.80	Of number 69 or higher number	15.50%
5210.41.80.00	Of number 69 or higher number (218)	15.50%
5210.49.80	Of number 69 or higher number	15.50%
5210.51.80	Of number 69 or higher number	15.50%
6108.22.90	Other	15.60%
6101.20.00	Of cotton	15.90%
6102.20.00	Of cotton	15.90%
0406.20.29.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	16%
0406.20.31	Described in additional U.S.note 18 to this chapter and entered pursuant to its provisions	16%
0406.30.22.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	16%
0406.30.24.00	Described in additional U.S.note 18 to this chapter and entered pursuant to its provisions	16%
0714.50.10.00	Fresh or chilled	16%
0714.90.39.00	Other	16%
1901.10.52.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	16%
1901.10.54.00	Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions	16%
1901.10.62.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	16%
1901.10.64.00	Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions	16%
1901.90.60.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	16%
1901.90.61.00	Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions	16%
1901.90.63.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	16%
1901.90.64.00	Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions	16%
2006.00.50.00	Mixtures	16%
2006.00.90.00	Other	16%
2008.70.10	Nectarines	16%
4202.22.15.00	With outer surface of sheeting of plastics	16%
6104.43.20	Other	16%
6104.53.20	Other	16%
6107.22.00	Of man-made fibers	16%
6108.32.00	Of man-made fibers	16%
6108.92.00	Of man-made fibers	16%
6109.90.80	Other	16%
6110.11.00	Of wool	16%
6110.12.20	Other	16%
6110.19.00	Other	16%
6111.30.50	Other	16%
6115.10.15	Of other textile materials	16%
6115.21.00	"Of synthetic fibers, measuring per single yarn less than 67 decitex"	16%
6115.29.80	Other	16%
6204.43.40	Other	16%
6204.44.40	Other	16%
6204.53.30	Other	16%
6204.59.30	Other	16%
6207.22.00.00	Of man-made fibers (651)	16%
6208.22.00.00	Of man-made fibers (651)	16%
6208.92.00	Of man-made fibers	16%
6209.30.30	Other	16%
6210.10.90	Other	16%
6211.33.50	Recreational performance outerwear	16%
6211.33.90	Other	16%
6211.43.05	Recreational performance outerwear	16%
6211.43.10	Other	16%
9013.90.20.00	Of telescopic sights for rifles	16%
9619.00.41.00	Of synthetic fibers (239)	16%
9619.00.74.00	Of man-made fibers	16%
6103.42.10	"Trousers, breeches and shorts"	16.10%
5212.11.10	Containing 36 percent or more by weight of wool or fine animal hair	16.50%
5212.12.10	Containing 36 percent or more by weight of wool or fine animal hair	16.50%
5212.13.10	Containing 36 percent or more by weight of wool or fine animal hair	16.50%
5212.14.10	Containing 36 percent or more by weight of wool or fine animal hair	16.50%
5212.21.10	Containing 36 percent or more by weight of wool or fine animal hair	16.50%
5212.22.10	Containing 36 percent or more by weight of wool or fine animal hair	16.50%
5212.23.10	Containing 36 percent or more by weight of wool or fine animal hair	16.50%
5212.24.10	Containing 36 percent or more by weight of wool or fine animal hair	16.50%
5803.00.30.00	Other (414)	16.50%
6109.10.00	Of cotton	16.50%
6110.20.20	Other	16.50%
9902.12.41	Shopping bags with outer surface of spun-bonded fabric of polypropylene or nonwoven fabric of polypropylene (provided for in subheading 4202.92.31)	16.50%
6203.42.07	Other	16.60%
6203.42.45	Other	16.60%
6204.62.15	Other	16.60%
6204.62.80	Other	16.60%
6212.10.50	Other	16.90%
6212.10.90	Other	16.90%
0403.20.90.00	Other	17%
0403.90.85.00	Fermented milk other than dried fermented milk or other than dried milk with added lactic ferments	17%
0406.20.15.00	Stilton cheese described in additional U.S. note 24 to this chapter and entered pursuant to its provisions	17%
0406.30.05.00	Stilton cheese described in additional U.S. note 24 to this chapter and entered pursuant to its provisions	17%
0406.40.48.00	Other	17%
0807.11.40	If entered at any other time	17%
2008.70.20	Other peaches	17%
2105.00.50.00	Other	17%
2202.99.10.00	Chocolate milk drink	17%
6110.30.15	Containing 23 percent or more by weight of wool or fine animal hair	17%
6204.13.10.00	Containing 36 percent or more by weight of wool or fine animal hair (444)	17%
6204.19.10.00	Containing 36 percent or more by weight of wool or fine animal hair (444)	17%
6206.20.30	Other	17%
6702.90.65.00	Other	17%
5801.31.00.00	Uncut weft pile fabrics (224)	17.20%
5801.37.50	Cut	17.20%
6001.10.20.00	Of man-made fibers (224)	17.20%
6001.22.00.00	Of man-made fibers (224)	17.20%
6001.92.00	Of man-made fibers	17.20%
6111.90.20.00	"Blouses and shirts, except those imported as parts of sets (239)"	17.30%
0402.29.05.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	17.50%
